seed,circuit,len_ds,Tx,Ty,split,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,macro_avg_precision,macro_avg_recall,macro_avg_f1-score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,weighted_avg_support
42,angle,10,1,1,train,0.975,0.999223602484472,0.9869631901840492,1288.0,0.5,0.0294117647058823,0.0555555555555555,34.0,0.7375,0.5143176835951772,0.5212593728698023,1322.0,0.962783661119516,0.9742813918305596,0.9630086821830138,1322.0
42,angle,10,1,1,test,0.972809667673716,1.0,0.9862174578866768,322.0,0.0,0.0,0.0,9.0,0.486404833836858,0.5,0.4931087289433384,331.0,0.9463586495194456,0.972809667673716,0.959401877460755,331.0
42,angle2nd,10,1,1,train,0.9742813918305596,1.0,0.9869731800766284,1288.0,0.0,0.0,0.0,34.0,0.4871406959152798,0.5,0.4934865900383142,1322.0,0.9492242304672928,0.9742813918305596,0.9615896035844912,1322.0
42,angle2nd,10,1,1,test,0.972809667673716,1.0,0.9862174578866768,322.0,0.0,0.0,0.0,9.0,0.486404833836858,0.5,0.4931087289433384,331.0,0.9463586495194456,0.972809667673716,0.959401877460755,331.0
42,angle,10,1,2,train,0.9598180439727066,0.9992107340173638,0.9791183294663572,1267.0,0.5,0.0185185185185185,0.0357142857142857,54.0,0.7299090219863533,0.5088646262679412,0.5074163075903215,1321.0,0.9410215455816952,0.959121877365632,0.9405537432721014,1321.0
42,angle,10,1,2,test,0.9577039274924471,1.0,0.978395061728395,317.0,0.0,0.0,0.0,14.0,0.4788519637462236,0.5,0.4891975308641975,331.0,0.9171968127344584,0.9577039274924471,0.9370127932564992,331.0
42,angle2nd,10,1,2,train,0.959726443768997,0.9968429360694554,0.977932636469222,1267.0,0.2,0.0185185185185185,0.0338983050847457,54.0,0.5798632218844985,0.5076807272939869,0.5059154707769838,1321.0,0.9286702530320357,0.9568508705526116,0.9393422852998338,1321.0
42,angle2nd,10,1,2,test,0.9577039274924471,1.0,0.978395061728395,317.0,0.0,0.0,0.0,14.0,0.4788519637462236,0.5,0.4891975308641975,331.0,0.9171968127344584,0.9577039274924471,0.9370127932564992,331.0
42,angle,10,1,4,train,0.9361702127659576,0.9983792544570502,0.9662745098039216,1234.0,0.5,0.0232558139534883,0.0444444444444444,86.0,0.7180851063829787,0.5108175342052693,0.5053594771241829,1320.0,0.9077530625402966,0.9348484848484848,0.9062158843335314,1320.0
42,angle,10,1,4,test,0.9329268292682928,0.9935064935064936,0.9622641509433962,308.0,0.0,0.0,0.0,22.0,0.4664634146341463,0.4967532467532468,0.4811320754716981,330.0,0.8707317073170733,0.9272727272727272,0.8981132075471698,330.0
42,angle2nd,10,1,4,train,0.936858721389108,0.9619124797406808,0.9492203118752498,1234.0,0.1132075471698113,0.0697674418604651,0.0863309352517985,86.0,0.5250331342794597,0.5158399608005729,0.5177756235635241,1320.0,0.8831965994323963,0.9037878787878788,0.8930017615800857,1320.0
42,angle2nd,10,1,4,test,0.9333333333333332,1.0,0.9655172413793104,308.0,0.0,0.0,0.0,22.0,0.4666666666666667,0.5,0.4827586206896552,330.0,0.8711111111111112,0.9333333333333332,0.9011494252873564,330.0
42,angle,10,1,6,train,0.916094584286804,0.9975083056478404,0.9550695825049702,1204.0,0.5714285714285714,0.0350877192982456,0.0661157024793388,114.0,0.7437615778576877,0.5162980124730431,0.5105926424921545,1318.0,0.8862828047224349,0.9142640364188164,0.8781797931856061,1318.0
42,angle,10,1,6,test,0.9176829268292684,1.0,0.9570747217806042,301.0,1.0,0.0689655172413793,0.1290322580645161,29.0,0.9588414634146342,0.5344827586206896,0.5430534899225601,330.0,0.9249168514412418,0.9181818181818182,0.8843073537570691,330.0
42,angle2nd,10,1,6,train,0.9110751818916734,0.936046511627907,0.9233920524375256,1204.0,0.0493827160493827,0.0350877192982456,0.041025641025641,114.0,0.480228948970528,0.4855671154630763,0.4822088467315832,1318.0,0.8365433601116876,0.8581183611532626,0.8470720441666948,1318.0
